Product ID,Product Name,Segment,Category - Subcategory,Product Weight Pounds
OFF-BI-6380,"wilson jones binder, economy",Consumer,Office Supplies - Binders,144
FUR-FU-6236,"tenex clock, black",Consumer,Furniture - Furnishings,18
FUR-BO-3906,"dania stackable bookrack, pine",Home Office,Furniture - Bookcases,41
OFF-ST-6046,"smead lockers, blue",Consumer,Office Supplies - Storage,125
FUR-CH-5449,"office star rocking chair, set of two",Corporate,Furniture - Chairs,136
TEC-MA-6134,"startech calculator, white",Consumer,Technology - Machines,54
OFF-PA-6594,xerox 23,Consumer,Office Supplies - Paper,68
OFF-SU-2963,"acme 10"" easy grip assistive scissors",Consumer,Office Supplies - Supplies,100
FUR-BO-5973,"sauder stackable bookrack, traditional",Consumer,Furniture - Bookcases,71
TEC-CO-3703,"canon personal copier, color",Consumer,Technology - Copiers,73
OFF-BI-2912,"acco hole reinforcements, clear",Corporate,Office Supplies - Binders,140
OFF-AR-3525,"boston canvas, blue",Home Office,Office Supplies - Art,74
OFF-AR-6124,"stanley pens, water color",Home Office,Office Supplies - Art,113
OFF-AR-3534,"boston highlighters, water color",Consumer,Office Supplies - Art,97
OFF-ST-4267,"fellowes lockers, industrial",Consumer,Office Supplies - Storage,92
TEC-PH-3803,"cisco signal booster, with caller id",Consumer,Technology - Phones,43
FUR-CH-5379,"novimex executive leather armchair, black",Corporate,Furniture - Chairs,93
OFF-SU-6166,"stiletto letter opener, high speed",Consumer,Office Supplies - Supplies,136
TEC-PH-3814,cisco spa525g2 ip phone - wireless,Consumer,Technology - Phones,72
OFF-BI-6400,"wilson jones hole reinforcements, recycled",Consumer,Office Supplies - Binders,50
OFF-LA-4552,"harbour creations shipping labels, 5000 label set",Corporate,Office Supplies - Labels,50
OFF-SU-4125,"elite ruler, serrated",Home Office,Office Supplies - Supplies,101
OFF-EN-3655,"cameo business envelopes, security-tint",Corporate,Office Supplies - Envelopes,57
OFF-PA-6610,"xerox memo slips, multicolor",Consumer,Office Supplies - Paper,10
OFF-EN-3093,"ames clasp envelope, set of 50",Corporate,Office Supplies - Envelopes,49
OFF-FA-6184,"stockwell clamps, 12 pack",Consumer,Office Supplies - Fasteners,147
OFF-AR-3495,"binney & smith pens, blue",Corporate,Office Supplies - Art,42
FUR-BO-3630,"bush corner shelving, pine",Consumer,Furniture - Bookcases,91
OFF-SU-4321,"fiskars shears, serrated",Consumer,Office Supplies - Supplies,57
OFF-FA-2945,"accos paper clips, bulk pack",Consumer,Office Supplies - Fasteners,124
TEC-PH-4894,jabra speak 410,Home Office,Technology - Phones,128
OFF-ST-5688,"rogers box, single width",Consumer,Office Supplies - Storage,24
OFF-FA-5486,"oic thumb tacks, bulk pack",Corporate,Office Supplies - Fasteners,31
OFF-LA-3323,"avery shipping labels, laser printer compatible",Home Office,Office Supplies - Labels,23
OFF-BI-3292,"avery hole reinforcements, recycled",Consumer,Office Supplies - Binders,48
FUR-FU-3929,"deflect-o clock, duo pack",Corporate,Furniture - Furnishings,22
OFF-ST-4029,"eldon box, industrial",Consumer,Office Supplies - Storage,45
OFF-FA-6208,"stockwell thumb tacks, metal",Corporate,Office Supplies - Fasteners,129
OFF-AR-3501,"binney & smith sketch pad, fluorescent",Consumer,Office Supplies - Art,117
OFF-FA-6189,"stockwell paper clips, assorted sizes",Corporate,Office Supplies - Fasteners,51
OFF-PA-4170,"enermax message books, recycled",Consumer,Office Supplies - Paper,60
OFF-AP-4502,"hamilton beach refrigerator, red",Consumer,Office Supplies - Appliances,8
FUR-TA-3356,"barricks wood table, adjustable height",Consumer,Furniture - Tables,16
TEC-PH-3784,"cisco audio dock, cordless",Home Office,Technology - Phones,26
OFF-BI-3715,"cardinal 3-hole punch, recycled",Home Office,Office Supplies - Binders,8
FUR-BO-3900,"dania floating shelf set, traditional",Corporate,Furniture - Bookcases,125
OFF-AR-3477,"binney & smith canvas, fluorescent",Corporate,Office Supplies - Art,145
OFF-BI-4804,"ibico 3-hole punch, durable",Consumer,Office Supplies - Binders,145
OFF-ST-6251,"tenex folders, single width",Corporate,Office Supplies - Storage,79
OFF-SU-4310,"fiskars letter opener, steel",Consumer,Office Supplies - Supplies,69
OFF-FA-6192,stockwell push pins,Consumer,Office Supplies - Fasteners,23
TEC-PH-6013,shocksock galaxy s4 armband,Home Office,Technology - Phones,82
OFF-AR-5905,"sanford canvas, water color",Corporate,Office Supplies - Art,44
OFF-AR-3461,"bic pencil sharpener, easy-erase",Corporate,Office Supplies - Art,108
TEC-PH-5831,"samsung office telephone, voip",Home Office,Technology - Phones,123
OFF-ST-6252,"tenex folders, wire frame",Consumer,Office Supplies - Storage,112
FUR-CH-5753,"safco bag chairs, set of two",Consumer,Furniture - Chairs,45
FUR-BO-5761,"safco classic bookcase, mobile",Home Office,Furniture - Bookcases,31
TEC-PH-3793,"cisco headset, with caller id",Consumer,Technology - Phones,68
OFF-ST-4293,"fellowes trays, blue",Home Office,Office Supplies - Storage,58
OFF-BI-2918,"acco index tab, durable",Home Office,Office Supplies - Binders,121
OFF-BI-2884,"acco 3-hole punch, recycled",Consumer,Office Supplies - Binders,81
OFF-ST-4031,"eldon box, wire frame",Corporate,Office Supplies - Storage,41
OFF-BI-4825,"ibico hole reinforcements, economy",Consumer,Office Supplies - Binders,30
OFF-AR-5288,newell 311,Consumer,Office Supplies - Art,113
TEC-AC-3405,"belkin router, usb",Home Office,Technology - Accessories,57
OFF-PA-6433,xerox 1884,Consumer,Office Supplies - Paper,140
FUR-BO-3640,"bush library with doors, mobile",Home Office,Furniture - Bookcases,120
OFF-BI-6383,"wilson jones binding machine, durable",Corporate,Office Supplies - Binders,111
OFF-PA-3013,"adams telephone message books, 5 1/4” x 11”",Consumer,Office Supplies - Paper,68
OFF-LA-4555,"harbour creations shipping labels, laser printer compatible",Corporate,Office Supplies - Labels,134
OFF-AR-5331,newell 350,Consumer,Office Supplies - Art,118
TEC-PH-3806,"cisco smart phone, full size",Consumer,Technology - Phones,117
OFF-EN-4445,"globeweis mailers, set of 50",Consumer,Office Supplies - Envelopes,147
TEC-CO-4765,"hp copy machine, color",Consumer,Technology - Copiers,135
OFF-BI-4344,gbc durable plastic covers,Corporate,Office Supplies - Binders,120
FUR-BO-3642,"bush library with doors, traditional",Home Office,Furniture - Bookcases,92
OFF-ST-4273,fellowes officeware wire shelving,Home Office,Office Supplies - Storage,130
OFF-LA-3218,avery 498,Consumer,Office Supplies - Labels,89
OFF-EN-3089,"ames business envelopes, security-tint",Corporate,Office Supplies - Envelopes,54
OFF-LA-4688,"hon round labels, laser printer compatible",Corporate,Office Supplies - Labels,15
OFF-AR-3540,"boston markers, water color",Corporate,Office Supplies - Art,110
TEC-CO-3606,"brother personal copier, high-speed",Corporate,Technology - Copiers,92
OFF-ST-5666,recycled eldon regeneration jumbo file,Consumer,Office Supplies - Storage,80
OFF-ST-5703,"rogers lockers, wire frame",Corporate,Office Supplies - Storage,76
TEC-MA-6133,"startech calculator, red",Corporate,Technology - Machines,107
OFF-FA-6202,"stockwell staples, assorted sizes",Consumer,Office Supplies - Fasteners,42
OFF-FA-3020,"advantus clamps, assorted sizes",Corporate,Office Supplies - Fasteners,111
OFF-FA-3044,"advantus paper clips, assorted sizes",Consumer,Office Supplies - Fasteners,35
OFF-PA-6432,xerox 1883,Corporate,Office Supplies - Paper,67
OFF-BI-3253,"avery binder, economy",Home Office,Office Supplies - Binders,58
OFF-BI-3293,"avery index tab, clear",Consumer,Office Supplies - Binders,91
TEC-CO-4790,"hp wireless fax, digital",Corporate,Technology - Copiers,140
TEC-AC-5136,"logitech router, programmable",Consumer,Technology - Accessories,81
OFF-LA-6029,"smead color coded labels, alphabetical",Consumer,Office Supplies - Labels,25
FUR-TA-3559,bretford “just in time” height-adjustable multi-task work tables,Consumer,Furniture - Tables,104
TEC-AC-5656,razer kraken pro over ear pc and music headset,Home Office,Technology - Accessories,27
FUR-FU-4039,"eldon delta triangular chair mat, 52"" x 58"", clear",Consumer,Furniture - Furnishings,44
OFF-PA-4006,"eaton parchment paper, multicolor",Home Office,Office Supplies - Paper,125
OFF-BI-2894,"acco binder covers, recycled",Corporate,Office Supplies - Binders,18
FUR-TA-4622,hon 5100 series wood tables,Corporate,Furniture - Tables,17
TEC-MA-5012,"konica phone, white",Corporate,Technology - Machines,19
FUR-CH-4655,"hon executive leather armchair, black",Home Office,Furniture - Chairs,68
TEC-AC-3397,"belkin numeric keypad, erganomic",Consumer,Technology - Accessories,34
TEC-AC-3378,"belkin flash drive, bluetooth",Corporate,Technology - Accessories,97
TEC-AC-5127,"logitech mouse, erganomic",Consumer,Technology - Accessories,60
FUR-BO-5946,"sauder camden county collection libraries, planked cherry finish",Home Office,Furniture - Bookcases,46
OFF-EN-3106,"ames manila envelope, set of 50",Corporate,Office Supplies - Envelopes,144
OFF-EN-3675,"cameo peel and seal, set of 50",Corporate,Office Supplies - Envelopes,97
OFF-PA-6552,xerox 1993,Home Office,Office Supplies - Paper,128
FUR-BO-5951,"sauder classic bookcase, traditional",Corporate,Furniture - Bookcases,97
TEC-AC-5111,logitech g700s rechargeable gaming mouse,Consumer,Technology - Accessories,39
TEC-PH-3146,"apple signal booster, with caller id",Home Office,Technology - Phones,27
OFF-BI-4371,"gbc twin loop wire binding elements, 9/16"" spine, black",Consumer,Office Supplies - Binders,76
OFF-LA-4686,"hon round labels, adjustable",Consumer,Office Supplies - Labels,99
FUR-CH-5380,"novimex executive leather armchair, red",Home Office,Furniture - Chairs,9
OFF-BI-4834,ibico presentation index for binding systems,Consumer,Office Supplies - Binders,129
FUR-FU-4084,"eldon photo frame, duo pack",Consumer,Furniture - Furnishings,148
FUR-FU-5170,"master big foot doorstop, beige",Consumer,Furniture - Furnishings,35
OFF-AR-3552,"boston sketch pad, blue",Consumer,Office Supplies - Art,126
TEC-MA-5495,"okidata calculator, white",Corporate,Technology - Machines,109
FUR-CH-4703,"hon swivel stool, red",Home Office,Furniture - Chairs,61
FUR-CH-5773,"safco executive leather armchair, adjustable",Home Office,Furniture - Chairs,109
TEC-PH-5822,samsung galaxy s4 active,Corporate,Technology - Phones,122
OFF-ST-6261,"tenex lockers, blue",Consumer,Office Supplies - Storage,94
OFF-EN-3662,"cameo interoffice envelope, security-tint",Home Office,Office Supplies - Envelopes,98
FUR-FU-4042,"eldon door stop, durable",Home Office,Furniture - Furnishings,67
TEC-AC-5873,"sandisk memory card, erganomic",Home Office,Technology - Accessories,88
OFF-AR-3468,"bic sketch pad, blue",Corporate,Office Supplies - Art,13
OFF-AR-3464,"bic pens, blue",Consumer,Office Supplies - Art,111
FUR-FU-5724,"rubbermaid door stop, duo pack",Corporate,Furniture - Furnishings,75
TEC-PH-3809,cisco spa 502g ip phone,Consumer,Technology - Phones,81
TEC-AC-3396,"belkin numeric keypad, bluetooth",Corporate,Technology - Accessories,56
TEC-AC-5206,"memorex memory card, usb",Corporate,Technology - Accessories,134
FUR-BO-3896,"dania corner shelving, traditional",Home Office,Furniture - Bookcases,48
OFF-FA-6185,"stockwell clamps, assorted sizes",Consumer,Office Supplies - Fasteners,75
OFF-EN-4437,"globeweis clasp envelope, set of 50",Corporate,Office Supplies - Envelopes,32
FUR-CH-4633,"hon chairmat, set of two",Home Office,Furniture - Chairs,112
OFF-BI-6381,"wilson jones binder, recycled",Consumer,Office Supplies - Binders,78
OFF-PA-6619,"xerox note cards, premium",Home Office,Office Supplies - Paper,40
FUR-CH-4564,"harbour creations swivel stool, set of two",Consumer,Furniture - Chairs,131
OFF-LA-5403,"novimex shipping labels, adjustable",Home Office,Office Supplies - Labels,147
TEC-AC-5102,"logitech flash drive, usb",Consumer,Technology - Accessories,22
TEC-AC-4152,"enermax flash drive, erganomic",Corporate,Technology - Accessories,35
OFF-BI-4806,"ibico 3-hole punch, recycled",Home Office,Office Supplies - Binders,78
OFF-SU-4985,"kleencut scissors, easy grip",Corporate,Office Supplies - Supplies,132
OFF-ST-4089,eldon profile file 'n store portable file tub letter/legal size black,Home Office,Office Supplies - Storage,139
TEC-CO-4584,hewlett packard 610 color digital copier / printer,Consumer,Technology - Copiers,25
TEC-PH-5604,"plantronics cs 50-usb - headset - convertible, monaural",Corporate,Technology - Phones,87
TEC-CO-6009,"sharp wireless fax, color",Consumer,Technology - Copiers,112
TEC-PH-3798,"cisco office telephone, voip",Corporate,Technology - Phones,77
OFF-AR-5920,"sanford markers, water color",Home Office,Office Supplies - Art,105
OFF-AP-4223,euro pro shark stick mini vacuum,Consumer,Office Supplies - Appliances,103
OFF-PA-6214,strathmore photo mount cards,Corporate,Office Supplies - Paper,5
OFF-EN-3111,"ames peel and seal, with clear poly window",Corporate,Office Supplies - Envelopes,36
OFF-LA-5401,"novimex round labels, laser printer compatible",Home Office,Office Supplies - Labels,81
TEC-PH-3151,"apple speaker phone, full size",Home Office,Technology - Phones,111
FUR-BO-5940,"sauder 3-shelf cabinet, metal",Corporate,Furniture - Bookcases,70
OFF-FA-6197,"stockwell rubber bands, 12 pack",Consumer,Office Supplies - Fasteners,127
TEC-CO-6010,"sharp wireless fax, digital",Corporate,Technology - Copiers,118
FUR-FU-3957,"deflect-o stacking tray, erganomic",Home Office,Furniture - Furnishings,94
OFF-LA-3261,"avery color coded labels, adjustable",Consumer,Office Supplies - Labels,51
OFF-BI-5644,presstex flexible ring binders,Consumer,Office Supplies - Binders,21
FUR-CH-4699,"hon steel folding chair, red",Consumer,Furniture - Chairs,98
TEC-MA-5541,"panasonic calculator, wireless",Home Office,Technology - Machines,136
OFF-FA-5478,"oic rubber bands, metal",Home Office,Office Supplies - Fasteners,84
OFF-AR-3489,"binney & smith markers, easy-erase",Home Office,Office Supplies - Art,91
FUR-BO-5786,"safco library with doors, mobile",Consumer,Furniture - Bookcases,92
OFF-BI-4810,"ibico binder covers, recycled",Home Office,Office Supplies - Binders,130
FUR-FU-6257,"tenex light bulb, black",Home Office,Furniture - Furnishings,123
TEC-MA-5567,"panasonic phone, durable",Corporate,Technology - Machines,50
OFF-LA-4662,"hon legal exhibit labels, 5000 label set",Consumer,Office Supplies - Labels,51
OFF-PA-6540,xerox 1982,Consumer,Office Supplies - Paper,25
OFF-BI-6378,"wilson jones binder, clear",Corporate,Office Supplies - Binders,66
FUR-BO-5971,"sauder stackable bookrack, mobile",Consumer,Furniture - Bookcases,122
TEC-PH-3121,anker 36w 4-port usb wall charger travel power adapter for iphone 5s 5c 5,Consumer,Technology - Phones,54
OFF-BI-2902,"acco binding machine, recycled",Corporate,Office Supplies - Binders,32
TEC-PH-3135,"apple headset, with caller id",Consumer,Technology - Phones,106
OFF-EN-4926,"jiffy peel and seal, with clear poly window",Consumer,Office Supplies - Envelopes,105
FUR-BO-4858,"ikea floating shelf set, pine",Consumer,Furniture - Bookcases,143
OFF-FA-2960,"accos thumb tacks, assorted sizes",Consumer,Office Supplies - Fasteners,72
TEC-PH-5264,"motorola signal booster, full size",Corporate,Technology - Phones,80
FUR-FU-3035,"advantus frame, erganomic",Corporate,Furniture - Furnishings,146
OFF-FA-2959,"accos thumb tacks, 12 pack",Corporate,Office Supplies - Fasteners,22
OFF-LA-4640,"hon color coded labels, laser printer compatible",Consumer,Office Supplies - Labels,55
OFF-ST-5712,"rogers trays, wire frame",Corporate,Office Supplies - Storage,91
TEC-CO-4581,"hewlett ink, high-speed",Consumer,Technology - Copiers,52
TEC-AC-5279,netgear ac1750 dual band gigabit smart wifi router,Consumer,Technology - Accessories,45
OFF-AR-3460,"bic pencil sharpener, blue",Home Office,Office Supplies - Art,49
OFF-ST-6067,"smead trays, single width",Consumer,Office Supplies - Storage,13
OFF-EN-5023,"kraft business envelopes, security-tint",Consumer,Office Supplies - Envelopes,121
TEC-CO-3601,"brother ink, high-speed",Consumer,Technology - Copiers,53
FUR-FU-5679,regeneration desk collection,Consumer,Furniture - Furnishings,80
FUR-CH-4408,global executive mid-back manager's chair,Corporate,Furniture - Chairs,47
OFF-BI-3724,"cardinal binding machine, clear",Consumer,Office Supplies - Binders,126
TEC-CO-4591,"hewlett wireless fax, digital",Corporate,Technology - Copiers,116
OFF-FA-3071,"advantus staples, metal",Corporate,Office Supplies - Fasteners,74
FUR-FU-4065,"eldon frame, duo pack",Corporate,Furniture - Furnishings,121
FUR-FU-4226,"executive impressions 12"" wall clock",Consumer,Furniture - Furnishings,40
TEC-PH-5272,"motorola speaker phone, voip",Corporate,Technology - Phones,131
OFF-EN-3088,"ames business envelopes, recycled",Consumer,Office Supplies - Envelopes,111
FUR-FU-4515,hand-finished solid wood document frame,Consumer,Furniture - Furnishings,72
FUR-BO-3907,"dania stackable bookrack, traditional",Consumer,Furniture - Bookcases,26
TEC-PH-5336,"nokia audio dock, full size",Corporate,Technology - Phones,10
TEC-AC-5207,memorex micro travel drive 16 gb,Consumer,Technology - Accessories,56
OFF-AP-4501,"hamilton beach refrigerator, black",Consumer,Office Supplies - Appliances,99
OFF-FA-6201,"stockwell staples, 12 pack",Consumer,Office Supplies - Fasteners,46
FUR-FU-3954,"deflect-o rollamat studded, beveled mat for medium pile carpeting",Consumer,Furniture - Furnishings,141
OFF-EN-5028,"kraft clasp envelope, with clear poly window",Consumer,Office Supplies - Envelopes,92
TEC-MA-6141,"startech inkjet, white",Consumer,Technology - Machines,23
OFF-BI-3291,"avery hole reinforcements, economy",Home Office,Office Supplies - Binders,39
FUR-BO-3894,"dania corner shelving, mobile",Consumer,Furniture - Bookcases,106
OFF-BI-6219,surelock post binders,Consumer,Office Supplies - Binders,147
OFF-BI-3713,"cardinal 3-hole punch, durable",Home Office,Office Supplies - Binders,110
FUR-BO-3647,"bush stackable bookrack, pine",Corporate,Furniture - Bookcases,75
TEC-CO-3591,"brother fax and copier, color",Home Office,Technology - Copiers,147
OFF-BI-4828,"ibico index tab, clear",Consumer,Office Supplies - Binders,80
TEC-AC-5888,"sandisk numeric keypad, erganomic",Consumer,Technology - Accessories,82
OFF-PA-6420,"wirebound message books, four 2 3/4"" x 5"" forms per page, 600 sets per book",Home Office,Office Supplies - Paper,26
TEC-CO-4577,"hewlett fax machine, high-speed",Consumer,Technology - Copiers,88
FUR-FU-4763,"howard miller 16"" diameter gallery wall clock",Consumer,Furniture - Furnishings,63
FUR-FU-5479,oic stacking trays,Corporate,Furniture - Furnishings,109
OFF-ST-6031,"smead file cart, blue",Home Office,Office Supplies - Storage,129
OFF-AR-3526,"boston canvas, easy-erase",Consumer,Office Supplies - Art,142
OFF-PA-4150,"enermax computer printout paper, recycled",Home Office,Office Supplies - Paper,123
OFF-AR-6127,"stanley sketch pad, fluorescent",Consumer,Office Supplies - Art,132
OFF-PA-6601,"xerox cards & envelopes, multicolor",Corporate,Office Supplies - Paper,14
OFF-EN-5035,"kraft mailers, set of 50",Consumer,Office Supplies - Envelopes,105
OFF-PA-6574,xerox 211,Corporate,Office Supplies - Paper,24
OFF-EN-4904,"jiffy business envelopes, security-tint",Consumer,Office Supplies - Envelopes,98
OFF-AR-3466,"bic pens, fluorescent",Consumer,Office Supplies - Art,128
OFF-BI-4336,"gbc clear cover, 8-1/2 x 11, unpunched, 25 covers per pack",Consumer,Office Supplies - Binders,62
OFF-PA-4014,ecotones memo sheets,Corporate,Office Supplies - Paper,137
FUR-CH-5413,"novimex swivel stool, red",Consumer,Furniture - Chairs,62
TEC-CO-3688,"canon fax machine, high-speed",Corporate,Technology - Copiers,99
TEC-AC-5117,"logitech keyboard, programmable",Home Office,Technology - Accessories,76
TEC-AC-3392,"belkin mouse, bluetooth",Consumer,Technology - Accessories,135
TEC-MA-5573,"panasonic printer, white",Corporate,Technology - Machines,90
TEC-AC-3387,"belkin keyboard, usb",Corporate,Technology - Accessories,100
OFF-SU-3839,compact automatic electric letter opener,Corporate,Office Supplies - Supplies,56
TEC-AC-5898,sandisk ultra 16 gb microsdhc class 10 memory card,Consumer,Technology - Accessories,39
FUR-BO-3887,"dania 3-shelf cabinet, pine",Home Office,Furniture - Bookcases,106
FUR-FU-4104,"eldon stacking tray, erganomic",Consumer,Furniture - Furnishings,146
OFF-FA-6186,"stockwell clamps, bulk pack",Consumer,Office Supplies - Fasteners,72
TEC-CO-4772,"hp fax and copier, laser",Corporate,Technology - Copiers,97
TEC-CO-6011,"sharp wireless fax, high-speed",Consumer,Technology - Copiers,36
TEC-PH-4382,ge 30524ee4,Corporate,Technology - Phones,131
FUR-TA-5050,"lesro coffee table, adjustable height",Corporate,Furniture - Tables,80
FUR-FU-3935,"deflect-o door stop, erganomic",Consumer,Furniture - Furnishings,13
OFF-ST-4295,"fellowes trays, single width",Corporate,Office Supplies - Storage,147
OFF-BI-4818,"ibico binding machine, recycled",Corporate,Office Supplies - Binders,40
OFF-EN-3673,"cameo peel and seal, recycled",Home Office,Office Supplies - Envelopes,32
FUR-CH-5396,"novimex rocking chair, red",Corporate,Furniture - Chairs,146
OFF-AP-3364,belkin 6 outlet metallic surge strip,Consumer,Office Supplies - Appliances,33
FUR-FU-4043,"eldon door stop, erganomic",Consumer,Furniture - Furnishings,40
OFF-ST-4251,"fellowes box, industrial",Corporate,Office Supplies - Storage,24
OFF-BI-3741,"cardinal slant-d ring binder, heavy gauge vinyl",Corporate,Office Supplies - Binders,78
TEC-CO-5993,"sharp fax and copier, color",Consumer,Technology - Copiers,91
OFF-PA-3998,"eaton message books, 8.5 x 11",Home Office,Office Supplies - Paper,119
OFF-EN-3676,"cameo peel and seal, with clear poly window",Consumer,Office Supplies - Envelopes,134
OFF-ST-6088,space solutions commercial steel shelving,Consumer,Office Supplies - Storage,6
OFF-SU-4306,"fiskars box cutter, steel",Consumer,Office Supplies - Supplies,103
TEC-MA-5578,"panasonic receipt printer, wireless",Consumer,Technology - Machines,39
TEC-PH-3142,"apple office telephone, with caller id",Consumer,Technology - Phones,121
FUR-CH-5437,"office star chairmat, adjustable",Consumer,Furniture - Chairs,90
OFF-AR-5302,newell 324,Home Office,Office Supplies - Art,61
OFF-FA-5465,"oic clamps, metal",Consumer,Office Supplies - Fasteners,118
OFF-LA-5405,"novimex shipping labels, laser printer compatible",Consumer,Office Supplies - Labels,105
OFF-AR-3500,"binney & smith sketch pad, easy-erase",Corporate,Office Supplies - Art,133
TEC-AC-3395,"belkin mouse, usb",Corporate,Technology - Accessories,25
OFF-EN-4912,"jiffy interoffice envelope, set of 50",Consumer,Office Supplies - Envelopes,80
FUR-CH-4519,"harbour creations bag chairs, black",Consumer,Furniture - Chairs,126
OFF-PA-4182,"enermax parchment paper, multicolor",Corporate,Office Supplies - Paper,140
OFF-BI-3714,"cardinal 3-hole punch, economy",Consumer,Office Supplies - Binders,79
OFF-FA-5471,"oic push pins, 12 pack",Consumer,Office Supplies - Fasteners,129
FUR-TA-3338,"barricks coffee table, rectangular",Corporate,Furniture - Tables,120
OFF-EN-3653,cameo buff policy envelopes,Consumer,Office Supplies - Envelopes,69
OFF-LA-4657,"hon file folder labels, 5000 label set",Consumer,Office Supplies - Labels,72
FUR-BO-3629,"bush corner shelving, mobile",Home Office,Furniture - Bookcases,13
OFF-ST-6273,"tenex shelving, industrial",Consumer,Office Supplies - Storage,103
OFF-AP-4490,"hamilton beach blender, black",Consumer,Office Supplies - Appliances,131
OFF-LA-5374,"novimex color coded labels, 5000 label set",Home Office,Office Supplies - Labels,135
OFF-ST-4028,"eldon box, blue",Consumer,Office Supplies - Storage,13
TEC-PH-5830,"samsung office telephone, full size",Consumer,Technology - Phones,108
OFF-AR-6114,"stanley markers, blue",Consumer,Office Supplies - Art,41
OFF-FA-6187,"stockwell clamps, metal",Consumer,Office Supplies - Fasteners,18
TEC-CO-3599,"brother ink, color",Home Office,Technology - Copiers,116
OFF-ST-4060,"eldon folders, blue",Consumer,Office Supplies - Storage,71
TEC-CO-3598,"brother fax machine, laser",Consumer,Technology - Copiers,89
OFF-BI-5643,pressboard hanging data binders for unburst sheets,Consumer,Office Supplies - Binders,133
OFF-PA-4161,"enermax memo slips, premium",Consumer,Office Supplies - Paper,44
TEC-AC-4942,keytronic kt800p2 - keyboard - black,Consumer,Technology - Accessories,84
OFF-FA-5469,"oic paper clips, bulk pack",Home Office,Office Supplies - Fasteners,130
TEC-PH-5260,"motorola office telephone, full size",Consumer,Technology - Phones,105
OFF-SU-4126,"elite ruler, steel",Consumer,Office Supplies - Supplies,119
OFF-AR-3286,avery hi-liter pen style six-color fluorescent set,Consumer,Office Supplies - Art,99
FUR-FU-3032,"advantus frame, black",Consumer,Furniture - Furnishings,55
TEC-CO-4777,"hp ink, color",Consumer,Technology - Copiers,64
FUR-TA-3353,"barricks training table, fully assembled",Consumer,Furniture - Tables,25
TEC-CO-4769,"hp fax and copier, color",Consumer,Technology - Copiers,123
OFF-AR-3532,"boston highlighters, easy-erase",Corporate,Office Supplies - Art,122
OFF-ST-4294,"fellowes trays, industrial",Corporate,Office Supplies - Storage,108
OFF-EN-3666,"cameo mailers, security-tint",Home Office,Office Supplies - Envelopes,40
OFF-BI-3251,"avery binder, clear",Corporate,Office Supplies - Binders,127
TEC-PH-5267,"motorola smart phone, cordless",Corporate,Technology - Phones,47
FUR-CH-5757,"safco chairmat, black",Home Office,Furniture - Chairs,93
OFF-PA-6614,"xerox message books, multicolor",Consumer,Office Supplies - Paper,66
OFF-PA-6464,xerox 1912,Home Office,Office Supplies - Paper,141
OFF-EN-5032,"kraft interoffice envelope, with clear poly window",Consumer,Office Supplies - Envelopes,133
FUR-CH-4654,"hon executive leather armchair, adjustable",Corporate,Furniture - Chairs,76
